REGN,TIP,OKATO,PREDR_K,PREDR_O,PREDV_K,PREDV_O,SVSK_R,SVSK_V,SVS_R,SVS_V,DKREDR_K,DKREDV_K,ZDLR,ZDLV,ZDLPRR,ZDLPRV,SSKRR,SSKRV,SPSR,SPSV
1,"1.1",70000,3,20920.716,0,0,286.3,0,6.704,0,40,0,174528.4263,0,6.27432,0,246.1,0,8.98,0
1,"1.1",71000,5,16109.178,0,0,202.4,0,9.712,0,472,0,892041.60221,0,21593.26851,0,202.6,0,9.052,0
1,"1.1",71100,2,6316.678,0,0,222.7,0,9.95,0,12,0,27750.8042,0,0,0,209.1,0,9.383,0
1,"1.1",71140,0,0,0,0,0,0,0,0,23,0,61168.39431,0,0.001,0,189.7,0,8.412,0
1,"1.1",73000,1,6519.5,0,0,300.2,0,8.6,0,30,0,77572.31232,0,0,0,209.3,0,8.964,0
1,"1.1",75000,17,36668.008,0,0,222.1,0,8.442,0,1051,1,1248006.76701,4220.76909,43962.79516,0,175.2,123.8,9.389,6.2
1,"1.1",76000,1,9004.05,0,0,360,0,8.6,0,4,1,14953.01776,7801.20988,0,0,308.3,110.5,8.434,7.5
1,"1.1",77000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"1.1",78000,1,2350,0,0,300.2,0,8.2,0,20,1,75698.15755,6284.3724,1484.14614,0,244.6,203.3,7.942,5
1,"1.1",79000,2,14420,0,0,205.1,0,9.565,0,78,0,128660.94928,0,1.68255,0,210.4,0,8.865,0
1,"1.1",80000,31,83912.999,0,0,215.9,0,8.521,0,1069,0,1961898.74812,0,27337.65545,0,198.7,0,8.747,0
1,"1.1",81000,1,6557.37,0,0,300.3,0,9.95,0,11,0,40135.97285,0,0,0,225.1,0,8.43,0
1,"1.1",82000,1,6076,0,0,144.1,0,9.95,0,16,0,43775.94806,0,0,0,185.5,0,9.347,0
1,"1.1",83000,0,0,0,0,0,0,0,0,18,0,52891.06803,0,8.44655,0,205.1,0,8.389,0
1,"1.1",84000,0,0,0,0,0,0,0,0,5,0,7804.27831,0,0,0,181.4,0,7.861,0
1,"1.1",85000,1,6664.951,0,0,324.2,0,9.95,0,7,0,17778.24908,0,0,0,261.3,0,9.012,0
1,"1.1",86000,2,4747.307,0,0,344.1,0,8.612,0,24,0,80288.61142,0,0,0,251.4,0,8.128,0
1,"1.1",87000,1,5505.813,0,0,180.1,0,9.95,0,31,0,93599.68604,0,2301.45701,0,234.4,0,8.403,0
1,"1.1",88000,0,0,0,0,0,0,0,0,18,0,39460.72413,0,0,0,220.3,0,8.698,0
1,"1.1",89000,0,0,0,0,0,0,0,0,22,0,73007.06591,0,0,0,267.7,0,8.252,0
1,"1.1",90000,0,0,0,0,0,0,0,0,11,0,23255.04894,0,0,0,227.1,0,8.905,0
1,"1.1",91000,0,0,0,0,0,0,0,0,29,0,50251.0228,0,0,0,186,0,8.608,0
1,"1.1",92000,26,80327.805,0,0,230.7,0,8.777,0,727,0,1482288.85801,0,16729.5366,0,201.8,0,8.852,0
1,"1.1",93000,0,0,0,0,0,0,0,0,5,0,8732.37674,0,0,0,185.2,0,10.486,0
1,"1.1",94000,1,5249,0,0,84.1,0,9.95,0,33,0,100938.90617,0,0,0,221.6,0,8.227,0
1,"1.1",95000,1,3040,0,0,240.2,0,9.95,0,14,0,29385.01551,0,1790.81696,0,208.3,0,8.575,0
1,"1.1",96000,0,0,0,0,0,0,0,0,4,0,12886.68262,0,0,0,206.5,0,8.336,0
1,"1.1",97000,3,8861.881,0,0,268,0,8.501,0,26,0,65847.04819,0,10.89566,0,211.9,0,8.219,0
1,"1.1",98000,0,0,0,0,0,0,0,0,15,0,36870.11116,0,417.13951,0,221.7,0,8.526,0
1,"1.1",99000,0,0,0,0,0,0,0,0,1,0,991.48064,0,991.48064,0,0,0,0,0
1,"1.1.1",1000,6,12654.36,0,0,259.7,0,6.172,0,87,0,154966.01553,0,0,0,221.3,0,6.515,0
1,"1.1.1",3000,3,9154.99,0,0,238.6,0,7.798,0,224,0,425452.13695,0,12.49712,0,231.9,0,7.157,0
1,"1.1.1",4000,2,26373.71,0,0,309.3,0,8.292,0,14,0,53617.16998,0,0,0,248.9,0,7.864,0
1,"1.1.1",5000,0,0,0,0,0,0,0,0,4,0,18260.6229,0,0,0,173,0,6.842,0
